timestamp,x,y,z,qx,qy,qz,qw
1758044618.505029093,0.0565242,0.000403422,0,0,0,1.3995e-05,1
1758044618.598537097,0.109497,0.00217976,0,0,0,0.00125656,0.999999
1758044618.800530021,0.187818,0.00333403,0,0,0,0.00124366,0.999999
1758044618.853122837,0.247726,0.00454023,0,0,0,0.00257225,0.999997
1758044618.900317075,0.306516,0.00573445,0,0,0,0.00344137,0.999994
1758044618.950229018,0.379517,0.00718265,0,0,0,0.00405041,0.999992
1758044619.078966648,0.48069,0.00940986,0,0,0,0.00501864,0.999987
1758044619.150381317,0.537338,0.0105973,0,0,0,0.00520405,0.999986
1758044619.259089156,0.648411,0.0135596,0,0,0,0.00680052,0.999977
1758044619.320267644,0.708466,0.0152477,0,0,0,0.00699967,0.999976
1758044619.364663278,0.775974,0.016923,0,0,0,0.00824951,0.999966
1758044619.412793157,0.84494,0.0189784,0,0,0,0.00881902,0.999961
1758044619.458375031,0.901234,0.0213025,0,0,0,0.0100482,0.99995
1758044619.505299917,0.971092,0.0237506,0,0,0,0.0111395,0.999938
1758044619.710516993,1.06514,0.0277619,0,0,0,0.0130433,0.999915
1758044619.778719735,1.12565,0.0304735,0,0,0,0.0139863,0.999902
1758044619.919447257,1.27626,0.0373389,0,0,0,0.0153542,0.999882
1758044620.021609447,1.36834,0.0417397,0,0,0,0.0163875,0.999866
1758044620.086573157,1.43731,0.0449938,0,0,0,0.0175186,0.999847
1758044620.173875297,1.5002,0.0474053,0,0,0,0.0183242,0.999832
1758044620.223765287,1.56509,0.0522016,0,0,0,0.0199903,0.9998
1758044620.280337923,1.63594,0.0607449,0,0,0,0.02578,0.999668
1758044620.378029847,1.70186,0.0738258,0,0,0,0.0359741,0.999353
1758044620.459207149,1.77899,0.0989624,0,0,0,0.0590138,0.998257
1758044620.517908418,1.8376,0.123939,0,0,0,0.083316,0.996523
1758044620.610367497,1.88797,0.147487,0,0,0,0.103277,0.994653
1758044620.664175033,1.93867,0.178454,0,0,0,0.129654,0.991559
1758044620.713612340,1.99474,0.217424,0,0,0,0.156338,0.987704
1758044620.846138615,2.06182,0.265782,0,0,0,0.187073,0.982346
1758044620.897163965,2.10345,0.311566,0,0,0,0.219447,0.975624
1758044620.994548137,2.16092,0.357816,0,0,0,0.239843,0.970812
1758044621.074545374,2.21381,0.431961,0,0,0,0.285511,0.958375
1758044621.123889206,2.25309,0.482098,0,0,0,0.309676,0.950842
1758044621.195985334,2.31342,0.555127,0,0,0,0.332241,0.943194
1758044621.268953869,2.37123,0.624648,0,0,0,0.347991,0.937498
1758044621.441090529,2.44105,0.709153,0,0,0,0.367672,0.929955
1758044621.497572633,2.46353,0.757103,0,0,0,0.39321,0.919449
1758044621.542483833,2.50131,0.822863,0,0,0,0.414346,0.910119
1758044621.638821289,2.52236,0.879861,0,0,0,0.442256,0.896889
1758044621.688226178,2.53776,0.941361,0,0,0,0.466328,0.884612
1758044621.777666263,2.56226,1.0136,0,0,0,0.488046,0.872818
1758044621.942300896,2.59215,1.17417,0,0,0,0.541809,0.840502
1758044622.043290446,2.61325,1.2814,0,0,0,0.556072,0.831134
1758044622.338696490,2.63822,1.36745,0,0,0,0.558342,0.829611
1758044622.413612534,2.71797,1.58436,0,0,0,0.563504,0.826113
1758044622.461007417,2.7417,1.65289,0,0,0,0.565657,0.824641
1758044622.707546058,2.8195,1.86547,0,0,0,0.570826,0.821071
1758044622.759978357,2.84197,1.93705,0,0,0,0.572686,0.819775
1758044622.806569730,2.86315,1.99155,0,0,0,0.574693,0.818369
1758044622.922758059,2.8979,2.08538,0,0,0,0.576339,0.817211
1758044623.006743885,2.92777,2.17659,0,0,0,0.578853,0.815432
1758044623.504757844,3.02828,2.48186,0,0,0,0.584953,0.811067
1758044623.576824627,3.09311,2.63789,0,0,0,0.561294,0.827616
1758044623.625112718,3.12143,2.6955,0,0,0,0.556813,0.830638
1758044623.713369507,3.16322,2.77734,0,0,0,0.553186,0.833058
1758044623.884742273,3.2253,2.88306,0,0,0,0.533114,0.846043
1758044623.933691502,3.25049,2.94233,0,0,0,0.531216,0.847237
1758044623.977761495,3.29182,3.01311,0,0,0,0.529549,0.84828
1758044624.220885484,3.39499,3.21578,0,0,0,0.523176,0.852225
1758044624.342763598,3.48384,3.31903,0,0,0,0.489314,0.872108
1758044624.391341905,3.51953,3.37446,0,0,0,0.479634,0.877469
1758044624.444377421,3.58623,3.43272,0,0,0,0.454207,0.890896
1758044624.804720037,3.74779,3.57668,0,0,0,0.402394,0.915466
1758044624.830300442,3.80779,3.61945,0,0,0,0.389676,0.920952
1758044624.874736973,3.95039,3.68341,0,0,0,0.349538,0.936922
1758044625.056729322,4.13522,3.78484,0,0,0,0.293823,0.95586
1758044625.104109325,4.19384,3.82215,0,0,0,0.275023,0.961438
1758044625.169089611,4.26124,3.86339,0,0,0,0.264727,0.964323
1758044625.240487352,4.30775,3.8997,0,0,0,0.246218,0.969214
1758044625.284958635,4.41861,3.9168,0,0,0,0.212861,0.977082
1758044625.331364371,4.52334,3.9255,0,0,0,0.189833,0.981816
1758044625.375997835,4.56212,3.95133,0,0,0,0.174357,0.984682
1758044625.421830499,4.65371,3.94595,0,0,0,0.153051,0.988218
1758044625.466388825,4.69431,3.96644,0,0,0,0.142895,0.989738
1758044625.803598304,4.81293,3.99327,0,0,0,0.115834,0.993269
1758044625.854479361,4.9339,3.98575,0,0,0,0.0777466,0.996973
1758044625.939330137,5.09852,3.97034,0,0,0,0.0372896,0.999305
1758044626.109680252,5.27226,3.95186,0,0,0,-0.00911187,0.999958
1758044626.238853764,5.42736,3.91901,0,0,0,-0.0431498,0.999069
1758044626.409290632,5.60542,3.84675,0,0,0,-0.0931813,0.995649
1758044626.483579555,5.68488,3.80926,0,0,0,-0.115727,0.993281
1758044626.589113643,5.77216,3.77229,0,0,0,-0.143062,0.989714
1758044626.645998638,5.83083,3.74336,0,0,0,-0.161649,0.986848
1758044626.698374936,5.89725,3.70223,0,0,0,-0.182868,0.983138
1758044626.822143085,5.96802,3.66255,0,0,0,-0.193852,0.981031
1758044626.906237265,6.04945,3.60296,0,0,0,-0.226899,0.973918
1758044627.147845212,6.21082,3.46962,0,0,0,-0.268471,0.963288
1758044627.257440722,6.39118,3.30918,0,0,0,-0.311214,0.95034
1758044627.351328862,6.47247,3.21724,0,0,0,-0.333817,0.942638
1758044627.397988269,6.51687,3.17325,0,0,0,-0.351005,0.936374
1758044627.544610317,6.57783,3.10474,0,0,0,-0.370648,0.928774
1758044627.595823639,6.63277,3.03179,0,0,0,-0.391233,0.920292
1758044627.644468379,6.66692,2.9795,0,0,0,-0.403262,0.915085
1758044627.693363462,6.69718,2.92221,0,0,0,-0.424049,0.905639
1758044627.715426492,6.74699,2.83844,0,0,0,-0.441793,0.897117
1758044627.761416792,6.78243,2.78942,0,0,0,-0.455926,0.890018
1758044627.847288556,6.8273,2.67376,0,0,0,-0.481382,0.876511
1758044627.856836206,6.84197,2.62958,0,0,0,-0.491668,0.870783
1758044627.901924851,6.85481,2.58713,0,0,0,-0.503089,0.864235
1758044627.947913263,6.88193,2.51548,0,0,0,-0.519104,0.854711
1758044628.238283713,6.8975,2.42433,0,0,0,-0.546435,0.837501
1758044628.284436706,6.92079,2.30802,0,0,0,-0.574457,0.818535
1758044628.308297735,6.94002,2.23522,0,0,0,-0.584198,0.811611
1758044628.331047567,6.9423,2.17937,0,0,0,-0.594485,0.804107
1758044628.378160266,6.95571,2.08071,0,0,0,-0.615757,0.787936
1758044628.435614365,6.95833,2.00045,0,0,0,-0.632984,0.774165
1758044628.488331311,6.95895,1.90231,0,0,0,-0.648537,0.761183
1758044628.535030495,6.95883,1.8142,0,0,0,-0.662148,0.749373
1758044628.582417025,6.94667,1.74175,0,0,0,-0.685,0.728543
1758044628.632004415,6.94308,1.65587,0,0,0,-0.69395,0.720023
1758044628.677774934,6.92547,1.6021,0,0,0,-0.707104,0.707109
1758044628.724675371,6.9084,1.575,0,0,0,-0.720821,0.693122
1758044628.769512360,6.89596,1.51547,0,0,0,-0.731429,0.681918
1758044629.105284998,6.84388,1.38305,0,0,0,-0.761984,0.647596
1758044629.130019012,6.81707,1.3316,0,0,0,-0.772832,0.63461
1758044629.181273199,6.78118,1.25342,0,0,0,-0.788482,0.615058
1758044629.228170852,6.74887,1.13812,0,0,0,-0.80185,0.597525
1758044629.372282623,6.69499,1.0257,0,0,0,-0.817513,0.57591
1758044629.522721702,6.60713,0.921843,0,0,0,-0.843169,0.537649
1758044629.614572508,6.54935,0.821398,0,0,0,-0.858008,0.513637
1758044629.635598613,6.50293,0.793002,0,0,0,-0.865237,0.501362
1758044629.740066847,6.41635,0.676635,0,0,0,-0.882641,0.470048
1758044629.817585681,6.33165,0.613104,0,0,0,-0.896806,0.442424
1758044629.947637744,6.26365,0.596514,0,0,0,-0.906153,0.42295
1758044629.998959613,6.20455,0.561231,0,0,0,-0.913596,0.406624
1758044630.026786478,6.15033,0.52177,0,0,0,-0.921861,0.38752
1758044630.174676048,6.06648,0.468615,0,0,0,-0.931325,0.364188
1758044630.229740002,5.9892,0.426727,0,0,0,-0.94245,0.334346
1758044630.344331710,5.88684,0.342966,0,0,0,-0.953693,0.300781
1758044630.401479177,5.80825,0.322629,0,0,0,-0.959478,0.281784
1758044630.475359960,5.69626,0.29202,0,0,0,-0.967945,0.251163
1758044630.542556594,5.63974,0.240082,0,0,0,-0.970848,0.239695
1758044630.605943077,5.5672,0.196811,0,0,0,-0.970688,0.240341
1758044630.739051479,5.43352,0.126389,0,0,0,-0.970523,0.241008
1758044630.786998664,5.35971,0.101968,0,0,0,-0.969834,0.243767
1758044630.833849980,5.27935,0.0755748,0,0,0,-0.969467,0.24522
1758044630.880793906,5.20933,0.040227,0,0,0,-0.96897,0.247178
1758044631.005610211,5.12066,-0.00132293,0,0,0,-0.972935,0.231079
1758044631.053230380,5.04501,-0.00747524,0,0,0,-0.980474,0.196651
1758044631.207174609,4.95444,-0.036262,0,0,0,-0.986091,0.166207
1758044631.374806665,4.84237,-0.0472004,0,0,0,-0.99396,0.10974
1758044631.397967803,4.73386,-0.0444303,0,0,0,-0.996782,0.0801595
1758044631.443314950,4.66023,-0.037695,0,0,0,-0.998643,0.0520696
1758044631.505659421,4.59366,-0.0505537,0,0,0,-0.999288,0.0377249
1758044631.584927646,4.5024,-0.0714203,0,0,0,-0.999622,0.0275065
1758044631.755758476,4.34956,-0.0885717,0,0,0,-0.999742,0.0227312
1758044631.845393573,4.2271,-0.0825524,0,0,0,-0.999778,0.0210755
1758044631.907545879,4.15817,-0.0877939,0,0,0,-0.999788,0.0205822
1758044631.954442988,4.07841,-0.0979545,0,0,0,-0.999807,0.0196453
1758044632.007220160,4.00099,-0.0827574,0,0,0,-0.999771,0.021382
1758044632.210399673,3.92011,-0.0824198,0,0,0,-0.999806,0.0197152
1758044632.240112509,3.86717,-0.0739228,0,0,0,-0.999806,0.0196818
1758044632.293905997,3.76772,-0.083293,0,0,0,-0.999862,0.0165866
1758044632.343368455,3.70643,-0.0851118,0,0,0,-0.999848,0.0174064
1758044632.367593750,3.62716,-0.0679635,0,0,0,-0.999872,0.0160268
1758044632.407311913,3.5432,-0.062058,0,0,0,-0.999877,0.0157134
1758044632.497541490,3.44982,-0.0668488,0,0,0,-0.999884,0.0152584
1758044632.591754503,3.33256,-0.0610111,0,0,0,-0.999954,0.00957136
1758044632.640501838,3.25095,-0.0429735,0,0,0,0.999928,0.0120028
1758044632.688519297,3.17107,-0.0273513,0,0,0,0.99956,0.0296495
1758044632.737449997,3.11008,-0.0027757,0,0,0,0.998535,0.0541173
1758044632.789954778,3.02937,0.00682356,0,0,0,0.997131,0.0756902
1758044633.025614114,2.83438,0.0268646,0,0,0,0.99613,0.0878877
1758044633.078975397,2.75918,0.0205806,0,0,0,0.996193,0.0871785
1758044633.139316294,2.67408,0.0560993,0,0,0,0.996466,0.0840003
1758044633.274837400,2.51123,0.0471064,0,0,0,0.998515,0.0544778
1758044633.374089302,2.44232,0.0309459,0,0,0,0.999635,0.027013
1758044633.474959135,2.33638,0.0230005,0,0,0,-1,0.000231628
1758044633.499346834,2.28432,0.0107805,0,0,0,-0.999981,0.00609771
1758044633.606626857,2.13177,-0.00925597,0,0,0,-0.9999,0.014174
1758044633.711483582,2.01233,-0.0172199,0,0,0,-0.999891,0.0147723
1758044633.770482650,1.94212,0.0107053,0,0,0,-0.99986,0.0167198
1758044633.945162160,1.89223,0.0104636,0,0,0,-0.999834,0.018217
1758044633.977596605,1.7884,0.00941094,0,0,0,-0.999769,0.0215062
1758044634.008901388,1.65961,-5.43647e-05,0,0,0,-0.999766,0.0216169
1758044634.118993487,1.54984,-0.0100117,0,0,0,-0.999748,0.0224442
1758044634.274430556,1.38336,-0.0509285,0,0,0,-0.998148,0.060835
1758044634.311823983,1.29617,-0.0857029,0,0,0,-0.997926,0.0643737
1758044634.379341746,1.23819,-0.0899675,0,0,0,-0.997885,0.0650062
1758044634.473062201,1.08049,-0.105338,0,0,0,-0.997619,0.0689627
1758044634.641015449,0.982507,-0.137088,0,0,0,-0.997411,0.0719083
1758044634.705455272,0.846264,-0.160103,0,0,0,-0.99698,0.0776592
1758044634.752558659,0.777631,-0.170149,0,0,0,-0.996833,0.0795199
1758044634.872772151,0.664856,-0.191366,0,0,0,-0.996501,0.0835848
1758044634.917562803,0.57793,-0.195263,0,0,0,-0.996743,0.080646
1758044635.042722253,0.469498,-0.220882,0,0,0,-0.996348,0.0853799
1758044635.091463155,0.397807,-0.258087,0,0,0,-0.996496,0.083637
1758044635.210114525,0.342817,-0.260741,0,0,0,-0.996347,0.0854014
1758044635.317117836,0.279016,-0.295505,0,0,0,-0.996546,0.0830396
